,название,полное название,издательство,год основания,рецензируемый,выпусков в год,импакт-фактор jcr,статей в выпуске,импакт-фактор ринц 2018,сокращение,страна,город,регион,issn печатной версии,подписной индекс,тираж,вариант представления,www-адрес,isi,всего статей,в настоящее время,scopus,всего выпусков,доступный архив,ринц,полных текстов,реферативный,перечень вак,цитирований,мультидисциплинарный,rsci,esci,doaj,crossref,ядро ринц,web of science,префикс doi,базы данных
659,Acta Geologica Hispanica,acta geologica hispanica,instituto nacional de geologia,-,-,-,нет,-,нет,-,испания,-,-,0567-7505,-,-,-,-,нет,27,не выходит,нет,8,1996 - 2002,нет,0,нет,-,1848,нет,нет,-,нет,-,-,-,-,-
660,Acta Geologica Hungarica,acta geologica hungarica,akademiai kiado,-,-,-,нет,-,нет,-,венгрия,-,-,0236-5278,-,-,-,-,нет,23,не выходит,нет,16,1996 - 2006,нет,0,нет,-,2001,нет,нет,-,нет,-,-,-,-,-
661,Acta Geologica Polonica,acta geologica polonica,wydawnictwo naukowe invit,-,-,-,есть,-,нет,-,польша,-,-,0001-5709,-,-,-,-,да,234,выходит,да,88,1974 - 2021,нет,0,нет,-,8052,нет,нет,-,нет,-,-,-,-,-
662,"Acta Geologica Sinica (Beijing, China)","acta geologica sinica (beijing, china)",kexue chubaneshe,-,-,-,нет,-,нет,-,китай,-,-,0001-5717,-,-,-,http://dizhixb.periodicals.net.cn/default.html,нет,21,выходит,нет,13,2003 - 2016,нет,0,нет,-,28,нет,нет,-,нет,-,-,-,-,-
663,Acta Geologica Sinica (English Edition),acta geologica sinica (english edition),geological publishing house,-,-,-,есть,-,нет,-,китай,-,-,1000-9515,-,-,-,http://www.wiley.com/bw/journal.asp?ref=1000-9515,да,783,не выходит,да,145,1988 - 2021,нет,0,нет,-,29183,нет,нет,-,нет,-,-,-,-,-
664,Acta Geologica Slovaca,acta geologica slovaca,-,-,-,-,нет,-,нет,acta  geol. slovaca,словакия,-,-,1338-0044,-,-,-,-,нет,37,выходит,да,15,2013 - 2021,нет,0,нет,-,311,нет,нет,-,нет,-,-,-,-,-
665,Acta Geophysica,acta geophysica,polska akademia nauk,1953,-,-,есть,-,нет,-,польша,-,-,1895-6572,-,-,-,https://www.springer.com/earth+sciences+and+geography/geophysics/journ,да,439,выходит,да,92,2006 - 2021,нет,0,нет,-,3966,нет,нет,-,нет,-,-,-,-,-
666,Acta Geophysica Polonica,acta geophysica polonica,polska akademia nauk,1953,-,-,нет,-,нет,-,польша,-,-,0001-5725,-,-,-,-,нет,71,не выходит,нет,39,1984 - 2005,нет,0,нет,-,1512,нет,нет,-,нет,-,-,-,-,-
667,Acta Geoscientica Sinica,acta geoscientica sinica,-,-,-,-,нет,-,нет,acta geoscientica sin.,китай,-,-,1006-3021,-,-,-,-,нет,98,выходит,да,47,2013 - 2021,нет,0,нет,-,3277,нет,нет,-,нет,-,-,-,-,-
668,Acta Geotechnica,acta geotechnica,-,-,-,-,есть,-,нет,-,германия,-,-,1861-1125,-,-,-,-,да,127,выходит,да,50,2009 - 2021,нет,0,нет,-,374,нет,нет,-,нет,-,-,-,-,-
669,Acta Geotechnica Slovenica,acta geotechnica slovenica,univerza v mariboru,2004,-,2,есть,-,нет,-,словения,-,-,1854-0171,-,-,-,http://fg.uni-mb.si/journal-ags,да,11,выходит,да,10,2008 - 2020,нет,0,нет,-,1808,нет,нет,-,нет,-,-,-,-,-
670,Acta Germanica: German Studies in Africa,acta germanica: german studies in africa,-,-,-,-,нет,-,нет,sagv,швейцария,-,-,0065-1273,-,-,-,http://www.journals.co.za/content/journal/german,да,0,выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
671,Acta Ginecologica,acta ginecologica,editores medicos s.a,-,-,-,нет,-,нет,-,испания,-,-,0001-5776,-,-,-,-,нет,5,не выходит,нет,5,2000 - 2006,нет,0,нет,-,5,нет,нет,-,нет,-,-,-,-,-
672,Acta Gymnica,acta gymnica,palacky univ,-,-,-,нет,-,нет,acta gymnica,афганистан,-,-,2336-4912,-,-,-,-,да,17,выходит,да,10,2015 - 2021,нет,0,нет,-,106,нет,нет,-,да,-,-,-,-,-
673,Acta gynaecologica et obstetrica Hispano-Lusitana,acta gynaecologica et obstetrica hispano-lusitana,mario cardia,-,-,-,нет,-,нет,-,португалия,-,-,0001-5784,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
674,Acta Haematologica,acta haematologica,s. karger ag,-,-,-,есть,-,нет,-,швейцария,-,-,0001-5792,-,-,-,-,да,165,выходит,да,104,1969 - 2021,нет,0,нет,-,8322,нет,нет,-,нет,-,-,-,-,-
675,Acta Haematologica Polonica,acta haematologica polonica,polskie towarzystwo hematologow i transfuzjologow/polish society of hematology and transfusiology,-,-,-,нет,-,нет,-,польша,-,-,0001-5814,-,-,-,-,нет,134,выходит,да,59,1979 - 2021,нет,0,нет,-,359,нет,нет,-,нет,-,-,-,-,-
676,Acta Hepato-Gastroenterologica,acta hepato-gastroenterologica,georg thieme verlag,-,-,-,нет,-,нет,-,германия,-,-,0300-970x,-,-,-,-,нет,9,не выходит,нет,9,1973 - 1979,нет,0,нет,-,254,нет,нет,-,нет,-,-,-,-,-
677,Acta hepatologica,acta hepatologica,georg thieme verlag,-,-,-,нет,-,нет,-,германия,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,5,нет,нет,-,нет,-,-,-,-,-
678,Acta Hepatologica Japonica,acta hepatologica japonica,japanese society of hepatology,-,-,-,нет,-,нет,-,япония,-,-,0451-4203,-,-,-,-,нет,117,выходит,да,97,1972 - 2021,нет,0,нет,-,285,нет,нет,-,нет,-,-,-,-,-
679,Acta hepato-splenologica,acta hepato-splenologica,georg thieme verlag,-,-,-,нет,-,нет,-,германия,-,-,0001-5822,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,5,нет,нет,-,нет,-,-,-,-,-
680,Acta Herpetologica,acta herpetologica,firenze university press,2006,-,2,есть,-,нет,-,италия,-,-,1827-9635,-,-,-,http://epress.unifi.it/riviste/cmpro-v-p-251.html,да,72,выходит,да,23,2009 - 2021,нет,0,нет,-,745,нет,нет,-,да,-,-,-,-,-
681,Acta Histochemica,acta histochemica,urban &amp; fischer,-,-,-,есть,-,нет,-,германия,-,-,0065-1281,-,-,-,http://www.sciencedirect.com/science/journal/00651281,да,361,выходит,да,183,1973 - 2021,нет,0,нет,-,8365,нет,нет,-,нет,-,-,-,-,-
682,Acta Histochemica et Cytochemica,acta histochemica et cytochemica,japan society of histochemistry and cytochemistry,-,-,-,есть,-,нет,-,япония,-,-,0044-5991,-,-,-,-,да,106,выходит,да,83,1971 - 2021,нет,0,нет,-,2124,нет,нет,-,нет,-,-,-,-,-
683,Acta Histochemica. Supplementband,-,-,1958,-,-,-,-,-,-,germany,-,-,0567-7556,-,-,-,-,-,-,-,нет,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,нет,нет,нет,нет,-,-
684,Acta Historiae Artis Slovenica,acta historiae artis slovenica,-,-,-,-,нет,-,нет,-,словения,-,-,1408-0419,-,-,-,-,нет,0,выходит,да,0, - ,нет,0,нет,-,1,нет,нет,-,нет,-,-,-,-,-
685,Acta Historiae Artium,acta historiae artium,akademiai kiado,-,-,-,нет,-,нет,-,венгрия,-,-,0001-5830,-,-,-,-,нет,0,выходит,нет,0, - ,нет,0,нет,-,8,нет,нет,-,нет,-,-,-,-,-
686,Acta historica Leopoldina,acta historica leopoldina,johann ambrosius barth,-,-,-,нет,-,нет,-,германия,-,-,0001-5857,-,-,-,-,нет,0,выходит,нет,0, - ,нет,0,нет,-,32,нет,нет,-,нет,-,-,-,-,-
687,Acta Historica Neosoliensia,acta historica neosoliensia,-,-,-,-,нет,-,нет,-,словакия,банска-бистрица,-,1336-9148,-,-,-,-,нет,1,выходит,нет,1,2013 - 2013,нет,0,нет,-,18,нет,нет,-,нет,-,-,-,-,-
688,Acta historica scientiarum naturalium et medicinalium,-,-,-,-,-,-,-,-,-,denmark,-,-,0065-1311,-,-,-,-,-,-,-,нет,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,нет,нет,нет,нет,-,-
689,Acta Historica Tallinnensia,acta historica tallinnensia,teaduste akadeemia kirjastus,1997,-,1,нет,-,нет,-,эстония,-,-,1406-2925,-,-,-,http://www.kirj.ee,да,4,выходит,да,4,2008 - 2019,нет,0,нет,-,55,нет,нет,-,нет,-,-,-,-,-
690,Acta Historica Universitatis Klaipedensis,acta historica universitatis klaipedensis,-,1993,-,-,нет,-,нет,-,литва,вильнюс,-,1392-4095,-,-,-,http://briai.ku.lt/leidiniai/acta-historica-universitatis-klaipedensis,нет,5,выходит,да,4,2006 - 2015,нет,0,нет,-,21,нет,нет,-,нет,-,-,-,-,-
691,"Acta Historica: труды по истории, археологии, этнографии и обществознанию","acta historica: труды по истории, археологии, этнографии и обществознанию","федеральное государственное бюджетное учреждение науки институт истории, археологии и этнографии дагестанского научного центра российской академии наук",2018,да,2,нет,60,нет,acta historica,россия,махачкала,республика дагестан,2658-3836,-,300,-,http://www.ihaednc.ru/static?id=102,нет,151,выходит,нет,7,2018 - 2020,да,82,нет,-,27,нет,нет,-,нет,-,-,-,-,-
692,Acta Histriae,acta histriae,znanstveno raziskovalno sredisce republike slovenije,1993,-,-,есть,-,нет,-,словения,-,-,1318-0185,-,-,-,http://www.zrs-kp.si/indexe.htm,да,5,выходит,да,4,2010 - 2018,нет,0,нет,-,55,нет,нет,-,да,-,-,-,-,-
693,Acta Horti Botanici Bucurestiensis,-,-,1959,-,-,-,-,-,-,romania,bucharest,-,1453-8830,-,-,-,-,-,-,-,нет,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,да,нет,нет,нет,-,-
694,Acta Horticulturae,acta horticulturae,international society for horticultural science,-,-,-,нет,-,нет,-,бельгия,-,-,0567-7572,-,-,-,-,нет,1874,выходит,да,609,1978 - 2021,нет,1,нет,-,34914,нет,нет,-,нет,-,-,-,-,-
695,Acta horticulturae et regiotecturae,acta horticulturae et regiotecturae,-,1998,-,4,нет,-,нет,-,словакия,нитра,-,1338-5259,-,-,-,http://www.degruyter.com/view/j/ahr,нет,7,выходит,нет,5,2007 - 2020,нет,0,нет,-,79,нет,нет,-,нет,-,-,-,-,-
696,Acta Horticulturae Sinica,acta horticulturae sinica,editorial office of acta horticulturae sinica,-,-,-,нет,-,нет,acta hortic. sin.,китай,-,-,0513-353x,-,-,-,-,нет,109,выходит,да,57,2016 - 2021,нет,0,нет,-,1370,нет,нет,-,нет,-,-,-,-,-
697,Acta Hospitalia,acta hospitalia,katholieke universiteit leuven,-,-,-,нет,-,нет,-,бельгия,-,-,0044-6009,-,-,-,-,нет,2,не выходит,нет,2,1995 - 2006,нет,0,нет,-,9,нет,нет,-,нет,-,-,-,-,-
698,Acta Humanitas,acta humanitas,-,-,-,2,нет,-,нет,-,чехия,колин,-,1805-2142,-,-,-,http://www.vspsv.cz,нет,1,выходит,нет,1,2014 - 2014,нет,0,нет,-,1,да (обществ.),нет,-,нет,-,-,-,-,-
699,Acta Hydrobiologica,-,-,1959,-,-,-,-,-,-,poland,-,-,0065-132x,-,-,-,-,-,-,-,нет,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,нет,нет,нет,нет,-,-
700,Acta Hydrobiologica Sinica,-,-,-,-,-,-,-,-,-,china,-,-,1000-3207,-,-,-,-,-,-,-,да,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,нет,нет,да,нет,-,-
701,Acta Hydrochimica et Hydrobiologica,acta hydrochimica et hydrobiologica,wiley interscience,1964,-,-,нет,-,нет,-,германия,-,-,0323-4320,-,-,-,-,нет,62,не выходит,нет,46,1973 - 2006,нет,0,нет,-,629,нет,нет,-,нет,-,-,-,-,-
702,Acta Hydrologica Slovaca,-,-,-,-,-,-,-,-,-,slovakia,-,-,-,-,-,-,-,-,-,-,да,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,нет,нет,да,нет,-,-
703,Acta hydrotechnica,acta hydrotechnica,-,-,-,-,нет,-,нет,-,словения,любляна,-,0352-3551,-,-,-,-,нет,6,выходит,да,4,1997 - 2021,нет,0,нет,-,24,нет,нет,-,нет,-,-,-,-,-
704,Acta Ichthyologica et Piscatoria,acta ichthyologica et piscatoria,akademia rolnicza w szczecinie,1970,-,2,есть,-,нет,-,польша,-,-,0137-1592,-,-,-,http://www.aiep.pl/index.html,да,126,выходит,да,52,1998 - 2021,нет,0,нет,-,1922,нет,нет,-,да,-,-,-,-,-
705,Acta IMEKO,acta imeko,international measurement confederation (imeko),-,-,-,нет,-,нет,acta imeko,венгрия,-,-,0237-028x,-,-,-,-,нет,77,выходит,да,25,2014 - 2021,нет,0,нет,-,327,нет,нет,-,нет,-,-,-,-,-
706,Acta Informatica,acta informatica,springer-verlag gmbh,-,-,-,есть,-,нет,00236,сша,-,-,0001-5903,-,-,-,-,да,285,выходит,да,120,1976 - 2021,нет,234,нет,-,3614,нет,нет,-,нет,-,-,-,-,-
707,Acta Informatica Medica,acta informatica medica,-,-,-,-,нет,-,нет,-,босния и герцеговина,-,-,0353-8109,-,-,-,-,нет,37,выходит,да,24,2012 - 2021,нет,0,нет,-,588,нет,нет,-,нет,-,-,-,-,-
708,Acta Informatica Pragensia,acta informatica pragensia,vysoka skola ekonomicka,2012,да,2,нет,9,"0,070",aip,чехия,прага,-,-,-,-,-,http://aip.vse.cz,нет,128,выходит,да,20,2012 - 2021,нет,124,нет,-,53,нет,нет,-,да,-,-,-,-,-
709,Acta Innovations,-,-,-,-,-,-,-,-,-,poland,-,-,-,-,-,-,-,-,-,-,да,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,нет,нет,да,нет,-,-
710,Acta Juridica Hungarica,acta juridica hungarica,"springer science+business media b.v., formerly kluwer academic publishers b.v.",-,-,-,нет,-,нет,ajuh,сша,-,-,1216-2574,-,-,-,-,нет,51,выходит,нет,10,1999 - 2015,нет,47,нет,-,77,нет,нет,-,нет,-,-,-,-,-
711,Acta Kinesiologica,acta kinesiologica,physical education pedagogues association,-,-,-,нет,-,нет,-,босния и герцеговина,-,-,1840-2976,-,-,-,-,да,0,выходит,нет,0, - ,нет,0,нет,-,68,нет,нет,-,нет,-,-,-,-,-
712,Acta Koreana,acta koreana,-,-,-,-,нет,-,нет,-,южная корея,-,-,1520-7412,-,-,-,-,да,3,выходит,да,3,2008 - 2019,нет,0,нет,-,43,нет,нет,-,нет,-,-,-,-,-
713,Acta Laboratorium Animalis Scientia Sinica,-,-,1993,-,-,-,-,-,-,china,beijing,-,1005-4847,-,-,-,"5 panjiayuan nanli, chaoyang district, beijing, 100021, china",-,-,-,нет,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,нет,нет,нет,нет,-,-
714,Acta Leidensia,acta leidensia,institut voor tropische geneeskunde,-,-,-,нет,-,нет,-,нидерланды,-,-,0065-1362,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,194,нет,нет,-,нет,-,-,-,-,-
715,Acta Leprologica,acta leprologica,ordre de malte pour i'assistance aux lepreux,-,-,-,нет,-,нет,-,швейцария,-,-,0001-5938,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,91,нет,нет,-,нет,-,-,-,-,-
716,Acta Limnologica Brasiliensia,acta limnologica brasiliensia,-,-,-,-,нет,-,нет,-,бразилия,-,-,0102-6712,-,-,-,-,нет,39,выходит,да,22,2002 - 2021,нет,0,нет,-,1335,нет,нет,-,нет,-,-,-,-,-
717,Acta Linguistica,acta linguistica,-,-,-,-,нет,-,нет,-,болгария,софия,-,1313-2296,-,-,-,-,нет,11,выходит,нет,6,2007 - 2013,нет,0,нет,-,244,нет,нет,-,нет,-,-,-,-,-
718,Acta Linguistica Academica,acta linguistica academica,akademiai kiado rt.,-,-,-,нет,-,нет,acta linguist. acad.,венгрия,-,-,2559-8201,-,-,-,-,да,6,выходит,да,4,2017 - 2020,нет,0,нет,-,5,нет,нет,-,нет,-,-,-,-,-
719,Acta Linguistica Asiatica,-,-,-,-,-,-,-,-,-,slovenia,-,-,-,-,-,-,-,-,-,-,да,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,да,нет,да,нет,-,-
720,Acta Linguistica Hafniensia,acta linguistica hafniensia,nordisk sprog- og kulturforlag,-,-,-,нет,-,нет,-,дания,-,-,0374-0463,-,-,-,-,нет,16,выходит,да,15,1939 - 2020,нет,0,нет,-,175,нет,нет,-,нет,-,-,-,-,-
721,Acta Linguistica Hungarica,acta linguistica hungarica,"springer science+business media b.v., formerly kluwer academic publishers b.v.",-,-,-,нет,-,нет,actl,сша,-,-,1216-8076,-,-,-,-,нет,141,выходит,нет,21,1969 - 2016,нет,131,нет,-,331,нет,нет,-,нет,-,-,-,-,-
722,Acta Linguistica Lithuanica,acta linguistica lithuanica,-,-,-,-,нет,-,нет,-,-,-,-,1648-4444,-,-,-,-,нет,2,выходит,да,2,2002 - 2021,нет,0,нет,-,101,нет,нет,-,нет,-,-,-,-,-
723,Acta Linguistica Petropolitana. Труды института лингвистических исследований,-,-,2003,-,-,-,-,-,-,россия,санкт-петербург,-,2306-5737,-,-,-,"199053 санкт-петербург, тучков пер., д. 9",-,-,-,нет,-,-,да,-,-,да,-,-,да,нет,нет,да,да,нет,10.30842/alp23065737,erih plus
724,Acta Literaria,acta literaria,universidad de concepcion,1975,-,1,нет,-,нет,-,чили,-,-,0716-0909,-,-,-,http://www.scielo.cl/,да,2,выходит,да,2,2016 - 2020,нет,0,нет,-,3,нет,нет,-,нет,-,-,-,-,-
725,Acta litteraria comparative,-,-,-,-,-,-,-,-,-,lithuania,vilnius,-,1822-5608,-,-,-,-,-,-,-,нет,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,нет,нет,нет,нет,-,-
726,Acta Logistica,acta logistica,-,2014,-,4,нет,-,нет,-,словакия,semsa,-,-,-,-,-,http://actalogistica.eu/index.php?stranka=aimandscope,нет,30,выходит,да,14,2018 - 2021,нет,0,нет,-,91,нет,нет,-,нет,-,-,-,-,-
727,Acta Marisiensis - Seria Medica,-,-,-,-,-,-,-,-,-,poland,-,-,-,-,-,-,-,-,-,-,да,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,нет,нет,да,нет,-,-
728,Acta Materialia,acta materialia,"elsevier science publishing company, inc.",-,-,-,есть,-,нет,-,великобритания,-,-,1359-6454,-,-,-,http://www.sciencedirect.com/science/journal/13596454,да,11942,выходит,да,504,1996 - 2021,нет,4150,нет,-,452366,нет,нет,-,нет,-,-,-,-,-
729,Acta Mathematica,acta mathematica,royal swedish academy of sciences,-,-,-,есть,-,нет,-,швеция,-,-,0001-5962,-,-,-,-,да,115,выходит,да,84,1880 - 2020,нет,0,нет,-,28622,нет,нет,-,нет,-,-,-,-,-
730,Acta Mathematica Academiae Paedagogicae Nyiregyhaziensis,acta mathematica academiae paedagogicae nyiregyhaziensis,nyregyhazi foiskola/college of nyregyhaza,-,-,-,нет,-,нет,-,венгрия,-,-,0866-0182,-,-,-,-,нет,53,выходит,нет,27,2000 - 2017,нет,0,нет,-,204,нет,нет,-,нет,-,-,-,-,-
731,Acta Mathematica Academiae Scientiarum Hungaricae,acta mathematica academiae scientiarum hungaricae,kluwer academic publishers,-,-,-,нет,-,нет,-,нидерланды,-,-,0001-5954,-,-,-,-,нет,34,не выходит,нет,21,1970 - 1982,нет,0,нет,-,2298,нет,нет,-,нет,-,-,-,-,-
732,Acta Mathematica Hungarica,acta mathematica hungarica,"akadémiai kiadó, co-published with springer science+business media b.v., formerly kluwer academic publishers b.v.",-,-,-,есть,-,нет,amhu,венгрия,-,-,0236-5294,-,-,-,-,да,1095,выходит,да,252,1983 - 2021,нет,719,нет,-,4707,нет,нет,-,нет,-,-,-,-,-
733,Acta Mathematica Scientia,acta mathematica scientia,"elsevier science publishing company, inc.",-,-,-,есть,-,нет,-,нидерланды,-,-,0252-9602,-,-,-,http://www.sciencedirect.com/science/journal/02529602,да,358,выходит,да,112,1996 - 2021,нет,0,нет,-,4176,нет,нет,-,нет,-,-,-,-,-
734,Acta Mathematica Sinica,acta mathematica sinica,springer-verlag gmbh,-,-,-,есть,-,нет,10114,сша,-,-,1439-8516,-,-,-,-,да,685,выходит,да,204,1985 - 2021,нет,237,нет,-,1178,нет,нет,-,нет,-,-,-,-,-
735,"Acta Mathematica Sinica, Chinese Series","acta mathematica sinica, chinese series",-,-,-,-,нет,-,нет,acta math. sin. chin. series,китай,-,-,0583-1431,-,-,-,-,нет,101,выходит,да,48,2012 - 2021,нет,0,нет,-,307,нет,нет,-,нет,-,-,-,-,-
736,Acta Mathematica Universitatis Comenianae,acta mathematica universitatis comenianae,obzor,-,-,-,нет,-,нет,-,словакия,-,-,0862-9544,-,-,-,-,да,69,выходит,да,29,2002 - 2021,нет,0,нет,-,962,нет,нет,-,нет,-,-,-,-,-
737,Acta Mathematica Vietnamica,acta mathematica vietnamica,-,-,-,-,нет,-,нет,-,германия,-,-,0251-4184,-,-,-,-,да,100,выходит,да,39,1979 - 2021,нет,0,нет,-,1064,нет,нет,-,нет,-,-,-,-,-
738,Acta Mathematicae Applicatae Sinica (English Series),acta mathematicae applicatae sinica (english series),springer-verlag gmbh,-,-,-,есть,-,нет,10255,сша,-,-,0168-9673,-,-,-,-,да,345,выходит,да,87,1988 - 2021,нет,156,нет,-,3976,нет,нет,-,нет,-,-,-,-,-
739,Acta Mechanica,acta mechanica,springer verlag wien,-,-,-,есть,-,нет,00707,австрия,-,-,0001-5970,-,-,-,http://www.springer.at/acta_mech,да,1279,выходит,да,322,1965 - 2021,нет,148,нет,-,25882,нет,нет,-,нет,-,-,-,-,-
740,Acta Mechanica et Automatica,acta mechanica et automatica,-,-,-,-,нет,-,нет,acta mech. automat.,польша,-,-,1898-4088,-,-,-,-,да,128,выходит,да,41,2007 - 2021,нет,0,нет,-,669,нет,нет,-,нет,-,-,-,-,-
741,Acta Mechanica Malaysia,-,-,2017,-,-,-,-,-,-,malaysia,cyberjaya,-,-,-,-,-,"c2-2-3, block 2, cbd perdana 3, persiaran cyberpoint timur, cyber 12, 63000 cyberjaya, selangor",-,-,-,нет,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,нет,нет,нет,нет,-,-
742,Acta Mechanica Sinica,acta mechanica sinica,springer-verlag gmbh,-,-,-,есть,-,нет,-,сша,-,-,0567-7718,-,-,-,-,да,376,выходит,да,133,1986 - 2021,нет,0,нет,-,6710,нет,нет,-,нет,-,-,-,-,-
743,Acta Mechanica Slovaca,-,-,-,-,-,-,-,-,-,slovakia,kosice,-,1335-2393,-,-,-,-,-,-,-,нет,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,нет,нет,нет,нет,-,-
744,Acta Mechanica Solida Sinica,acta mechanica solida sinica,springer-verlag gmbh,-,-,-,есть,-,нет,10338,китай,-,-,0894-9166,-,-,-,http://www.elsevier.com/wps/find/journaldescription.cws_home/718159/de,да,237,выходит,да,97,1996 - 2021,нет,23,нет,-,3318,нет,нет,-,нет,-,-,-,-,-
745,Acta medica (Hradec Kralove),acta medica (hradec kralove),vydavatelstvi karolinum,-,-,-,нет,-,нет,-,чехия,-,-,1211-4286,-,-,-,-,нет,12,выходит,да,10,2007 - 2021,нет,0,нет,-,620,нет,нет,-,да,-,-,-,-,-
746,"Acta medica (Hradec Kralove). Supplementum Universitas Carolina, Facultas Medica Hradec Kralove","acta medica (hradec kralove). supplementum universitas carolina, facultas medica hradec kralove",vydavatelstvi karolinum,-,-,-,нет,-,нет,-,чехия,-,-,1211-247x,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,10,нет,нет,-,нет,-,-,-,-,-
747,Acta Medica Academiae Scientiarum Hungaricae,acta medica academiae scientiarum hungaricae,akademiai kiado,-,-,-,нет,-,нет,-,венгрия,-,-,0001-5989,-,-,-,-,нет,3,не выходит,нет,2,1979 - 1981,нет,0,нет,-,13,нет,нет,-,нет,-,-,-,-,-
748,Acta medica academica,acta medica academica,-,-,-,-,нет,-,нет,-,босния и герцеговина,-,-,1840-1848,-,-,-,-,нет,0,выходит,да,0, - ,нет,0,нет,-,45,нет,нет,-,да,-,-,-,-,-
749,Acta Medica Austriaca,acta medica austriaca,springer verlag wien,-,-,-,нет,-,нет,ama,австрия,-,-,0303-8173,-,-,-,-,нет,128,не выходит,нет,26,1992 - 2004,нет,0,нет,-,249,нет,нет,-,нет,-,-,-,-,-
750,Acta medica Austriaca. Supplement,acta medica austriaca. supplement,"john wiley &amp; sons, incorporated",-,-,-,нет,-,нет,-,великобритания,-,-,0303-8181,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,1,нет,нет,-,нет,-,-,-,-,-
751,Acta Medica Auxologica,acta medica auxologica,istituto auxologico italiano,-,-,-,нет,-,нет,-,италия,-,-,0001-6004,-,-,-,-,нет,1,не выходит,нет,1,2001 - 2001,нет,0,нет,-,18,нет,нет,-,нет,-,-,-,-,-
752,Acta Medica Bulgarica,acta medica bulgarica,meditsinski universitet - sofia,-,-,-,нет,-,нет,-,болгария,-,-,0324-1750,-,-,-,-,нет,60,выходит,да,36,1979 - 2021,нет,0,нет,-,77,нет,нет,-,да,-,-,-,-,-
753,Acta Medica Croatica,acta medica croatica,croatian academy of medical sciences,-,-,-,нет,-,нет,-,хорватия,-,-,1330-0164,-,-,-,-,нет,84,выходит,да,46,2003 - 2020,нет,0,нет,-,917,нет,нет,-,нет,-,-,-,-,-
754,Acta Medica Dominicana,acta medica dominicana,acta medica dominicana,-,-,-,нет,-,нет,-,доминиканская республика,-,-,0379-4857,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,18,нет,нет,-,нет,-,-,-,-,-
755,Acta Medica et Biologica,acta medica et biologica,niigata daigaku,-,-,-,нет,-,нет,-,япония,-,-,0567-7734,-,-,-,-,нет,5,не выходит,нет,5,2003 - 2008,нет,0,нет,-,176,нет,нет,-,нет,-,-,-,-,-
756,Acta Medica Eurasica,-,-,2015,-,-,-,-,-,-,россия,чебоксары,-,-,-,-,-,"428015, г. чебоксары, московский просп., д. 15",-,-,-,нет,-,-,да,-,-,нет,-,-,нет,нет,нет,да,нет,нет,10.47026/2413-4864,-
757,Acta Medica Hungarica,acta medica hungarica,akademiai kiado,-,-,-,нет,-,нет,-,венгрия,-,-,0236-5286,-,-,-,-,нет,1,не выходит,нет,1,1984 - 1984,нет,0,нет,-,16,нет,нет,-,нет,-,-,-,-,-
758,Acta medica Indonesiana,acta medica indonesiana,indonesian society of internal medicine,-,-,-,нет,-,нет,-,индонезия,-,-,0125-9326,-,-,-,-,да,0,выходит,да,0, - ,нет,0,нет,-,1211,нет,нет,-,да,-,-,-,-,-
759,Acta Medica International,-,-,-,-,-,-,-,-,-,india,moradabad,-,2349-0578,-,-,-,-,-,-,-,нет,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,да,нет,нет,нет,-,-
760,Acta Medica Iranica,acta medica iranica,tehran university of medical sciences,-,-,-,нет,-,нет,-,иран,-,-,0044-6025,-,-,-,-,нет,112,выходит,да,76,2006 - 2021,нет,0,нет,-,1975,нет,нет,-,да,-,-,-,-,-
761,Acta medica Italica di malattie infettive e parassitarie,acta medica italica di malattie infettive e parassitarie,clinica delle malattie tropicali e subtropicali - universita,-,-,-,нет,-,нет,-,италия,-,-,0365-3285,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,1,нет,нет,-,нет,-,-,-,-,-
