Название,Полное название,Сокращенное название,Адрес,Сайт,Почта,Телефон
Кубанский государственный университет физической культуры,"Федеральное государственное бюджетное образовательное учреждение высшего образования «Кубанский государственный университет физической культуры, спорта и туризма»",КГУФКСТ,"350015, Краснодарский край, г. Краснодар, ул. имени Будённого, д. 161",http://kgufkst.ru,doc@kgufkst.ru,+78612553517
Кубанский государственный медицинский университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Кубанский государственный медицинский университет» Министерства здравоохранения Российской Федерации,КубГМУ,"350063, Краснодарский край, г. Краснодар, ул. Седина, 4",http://www.ksma.ru,corpus@ksma.ru,+78612683684
Кубанский государственный технологический университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Кубанский государственный технологический университет»,КубГТУ,"350072, Краснодарский край, г. Краснодар, ул. Московская, д. 2",http://www.kubstu.ru,adm@kgtu.kuban.ru,+78612745253
Кубанский государственный университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Кубанский государственный университет»,КубГУ,"350040, Краснодарский край, г. Краснодар, ул. Ставропольская, д. 149",http://www.kubsu.ru,rector@kubsu.ru,+78612199502
Финансовый университет при Правительстве РФ — филиал в г. Краснодар,Краснодарский филиал федерального государственного образовательного бюджетного учреждения высшего образования «Финансовый университет при Правительстве Российской Федерации»,ФинУниверситет в г. Краснодар,"350051, Краснодарский край, г. Краснодар, ул. Шоссе Нефтяников, д.32",http://www.fa.ru/fil/krasnodar/,krasnodar@fa.ru,+78612156360
Краснодарский государственный институт культуры,Федеральное государственное бюджетное образовательное учреждение высшего образования «Краснодарский государственный институт культуры»,КГИК,"350072, Краснодарский край, г. Краснодар, ул. 40-летия Победы, д. 33",http://kgik1966.ru,kguki@list.ru,+78612577632
Академия маркетинга и социально-информационных технологий,Негосударственное аккредитованное некоммерческое частное образовательное учреждение высшего образования «Академия маркетинга и социально-информационных технологий - ИМСИТ» (г. Краснодар),ИМСИТ,"350010, Краснодарский край, г. Краснодар, ул. Зиповская, д. 5",http://www.imsit.ru,info-imsit@mail.ru,+78612782283
Российский экономический университет им. Г.В. Плеханова — филиал в г. Краснодар,Краснодарский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российский экономический университет имени Г.В. Плеханова»,РЭУ им. Г.В.Плеханова в г. Краснодар,"350015, Краснодарский край, г. Краснодар, ул. Северная, д. 360",http://www.kfrgteu.ru,krasnodar@rea.ru,+78612011071
Российский государственный университет правосудия — филиал в г. Краснодар,Северо-Кавказский филиал Федерального государственного бюджетного образовательного учреждения высшего образования Российский государственный университет правосудия (г.Краснодар),РГУП в г. Краснодар,"350002, Краснодарский край, г. Краснодар, ул. Леваневского, д. 187/1",http://ncb.rgup.ru,nc_rla@mail.ru,+78612516510
Краснодарский университет МВД РФ,Федеральное государственное казенное образовательное учреждение высшего образования «Краснодарский университет Министерства внутренних дел Российской Федерации»,КрУ МВД России,"350005, Краснодарский край, г. Краснодар, ул. Ярославская, д. 128",http://krdu.mvd.ru,post_krdu@mvd.ru,+78612584708
Российский университет кооперации — филиал в г. Краснодар,Краснодарский кооперативный институт (филиал) автономной некоммерческой образовательной организации высшего образования Центросоюза Российской Федерации «Российский университет кооперации»,РУК в г. Краснодар,"350015, Краснодарский край, г. Краснодар, ул. Им. Митрофана Седина, д. 168/1",http://krasnodar.ruc.su,krasnodar@ruc.su,+78612552921
Южный институт менеджмента,Частное образовательное учреждение высшего образования Южный институт менеджмента,ЮИМ,"350040, Краснодарский край, г. Краснодар, ул. Ставропольская, д. 216",http://www.uim.ru,info@uim.ru,+78612338859
Кубанский медицинский институт,Некоммерческое образовательное частное учреждение высшего образования «Кубанский медицинский институт»,КМИ,"350015, Краснодарский край, г. Краснодар, ул. Будённого, 198",http://kubmi.ru,info@kubmi.ru,+78612554607
Московский педагогический государственный университет — филиал в г. Анапа,Анапский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Московский педагогический государственный университет»,МПГУ в г. Анапа,"353410, Краснодарский край, г. Анапа, ул. Астраханская, д. 88",http://xn--c1arjr.xn--p1ai/ob-mpgu/struktura/filialyi/anapskiy-filial/o-filiale,f_anapa@mpgu.edu,+78613356287
Сочинский государственный университет — филиал в г. Анапа,Филиал федерального государственного бюджетного образовательного учреждения высшего образования «Сочинский государственный университет» в г. Анапе Краснодарского края,СГУ в г. Анапа,"353451, Краснодарский край, г. Анапа, ул. Чехова, д. 69",http://www.anapauniver.ru,afsgu@mail.ru,+78613332609
Кубанский государственный технологический университет — филиал в г. Армавир,Армавирский механико-технологический институт (филиал) федерального государственного бюджетного  образовательного учреждения высшего образования «Кубанский государственный технологический университет»,КубГТУ в г. Армавир,"352905, Краснодарский край, г. Армавир, ул. Кирова, д. 127",http://www.amti.ru,amti@amti.ru,+78613772799
Армавирский государственный педагогический университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Армавирский государственный педагогический университет»,АГПУ,"352900, Краснодарский край, г. Армавир, ул. Розы Люксембург, д. 159",http://agpu.net,rektoragpu@mail.ru,+78613733560
Кубанский государственный университет — филиал в г. Армавир,Филиал федерального государственного бюджетного образовательного учреждения высшего образования «Кубанский государственный университет» в г. Армавире,КубГУ в г. Армавир,"352900, Краснодарский край, г. Армавир, ул. Комсомольская, д. 126",http://www.arm.kubsu.ru,armavir@kubsu.ru,+78613731064
Армавирский гуманитарно-социальный институт,Негосударственное частное некоммерческое образовательное учреждение высшего образования «Армавирский гуманитарно-социальный институт»,АГСИ,"352905, Краснодарский край, г. Армавир, ул. Урицкого, д. 117",http://agsi.ru,apsi@bk.ru,+78613774338
Армавирский лингвистический социальный институт,Негосударственное частное образовательное учреждение высшего образования «Армавирский лингвистический социальный институт»,АЛСИ,"352901, Краснодарский край, г. Армавир, ул. Кирова, д. 22-24",http://alsivuz.ru,info@alsivuz.ru,+78613733451
Армавирский социально-психологический институт,Образовательное частное учреждение высшего образования «Армавирский социально-психологический институт»,АСПИ,"352900, Краснодарский край, г. Армавир, ул. Комсомольская, д. 127",http://www.aspiarm.ru,aspi_arm@bk.ru,+78613740573
Адыгейский государственный университет — филиал в г. Белореченск,Филиал федерального государственного бюджетного образовательного учреждения высшего образования «Адыгейский государственный университет» в г. Белореченске,АГУ в г. Белореченск,"352630, Краснодарский край, г. Белореченск, ул. 8 Марта, д. 57/1",http://agubel.ru,agu1-belora@yandex.ru,+78615522552
Южный федеральный университет — филиал в г. Геленджик,Филиал федерального государственного автономного образовательного учреждения высшего образования «Южный федеральный университет» в г. Геленджике Краснодарского края,ЮФУ в г. Геленджик,"353461, Краснодарский край, г. Геленджик, ул. Красногвардейская, д. 79",http://gelsfedu.ru,trtu06@bk.ru,+78614194584
Ростовский государственный экономический университет — филиал в г. Ейск,Филиал федерального государственного бюджетного образовательного учреждения высшего образования «Ростовский государственный экономический университет (РИНХ)» в г. Ейске Краснодарского края,РГЭУ РИНХ в г. Ейск,"353680, Краснодарский край, г. Ейск, ул. Энгельса, д. 92",http://rgeu.yeisk-online.ru,rgeu_yeisk@mail.ru,+78613222042
Государственный морской университет им. Ф.Ф. Ушакова,Федеральное государственное бюджетное образовательное учреждение высшего образования «Государственный морской университет имени адмирала Ф.Ф. Ушакова»,ГМУ им. Ушакова,"353918, Краснодарский край, г. Новороссийск, проспект Ленина, д. 93",http://www.aumsu.ru,mail@nsma.ru,+78617767800
Пятигорский государственный университет — филиал в г. Новороссийск,Новороссийский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Пятигорский государственный университет»,ПГУ в г. Новороссийск,"353920, Краснодарский край, г. Новороссийск, ул. Куникова, д. 47Б",http://nf-pgu.ru,nf@pgu.ru,+78617221205
Финансовый университет при Правительстве РФ — филиал в г. Новороссийск,Новороссийский филиал федерального государственного образовательного бюджетного учреждения высшего образования «Финансовый университет при Правительстве Российской Федерации»,ФинУниверситет в г. Новороссийск,"353907, Краснодарский край, г. Новороссийск, ул. Видова, д. 56",http://www.fa.ru/fil/novoross/Pages/default.aspx,novoross@fa.ru,+78617211388
Московский гуманитарно-экономический университет — филиал в г. Новороссийск,Новороссийский институт (филиал) Автономной некоммерческой организации высшего образования Московского гуманитарно-экономического университета,МГЭУ в г. Новороссийск,"353900, Краснодарский край, г. Новороссийск, ул. Коммунистическая/Советов, д. 36/37",http://www.nvr-mgei.ru,nvr-mgeu@mail.ru,+78617644113
Кубанский государственный технологический университет — филиал в г. Новороссийск,Новороссийский политехнический институт (филиал) федерального государственного бюджетного  образовательного учреждения высшего образования «Кубанский государственный технологический университет»,КубГТУ в г. Новороссийск,"353900, Краснодарский край, г. Новороссийск, ул. Карла Маркса, д. 20",http://npi.edu.ru,priemnaya@nbkstu.org.ru,+78617641814
Кубанский государственный университет — филиал в г. Новороссийск,Филиал федерального государственного бюджетного образовательного учреждения высшего образования «Кубанский государственный университет» в г. Новороссийске,КубГУ в г. Новороссийск,"353900, Краснодарский край, г. Новороссийск, ул. Коммунистическая, д. 36",http://nov.kubsu.ru,nvr@kubsu.ru,+78617612879
Кубанский государственный университет — филиал в г. Славянск-на-Кубани,Филиал федерального государственного бюджетного образовательного учреждения высшего образования «Кубанский государственный университет» в г. Славянске-на-Кубани,КубГУ в г. Славянск-на-Кубани,"353560, Краснодарский край, г. Славянск-на-Кубани, ул. Кубанская, д. 200",http://www.sgpi.ru,slav@kubsu.ru,+78614643042
Сочинский государственный университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Сочинский государственный университет»,СГУ,"354000, Краснодарский край, г. Сочи, ул. Пластунская, 94",http://sutr.ru,university@sutr.ru,+78622648503
Российский университет дружбы народов — филиал в г. Сочи,Сочинский институт (филиал) федерального государственного автономного образовательного учреждения высшего образования «Российский университет дружбы народов»,РУДН в г. Сочи,"354348, Краснодарский край, г. Сочи, Адлерский район, ул. Куйбышева, д. 32",http://www.rudn-sochi.ru,info@rudn-sochi.ru,+78622401222
Всероссийский государственный университет юстиции — филиал в г. Сочи,Сочинский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)»,ВГУЮ в г. Сочи,"354000, Краснодарский край, г. Сочи, ул. Дагомысская, 42",http://sochi.rpa-mu.ru,sochirpa@mail.ru,-
Международный инновационный университет,Образовательное частное учреждение высшего образования «Международный инновационный университет»,МИУ,"354000, Краснодарский край, г. Сочи, ул. Орджоникидзе, д. 10а",http://www.miu-sochi.ru,miu-sochi@mail.ru,+78622620832
Московский государственный университет технологий и управления им. К.Г. Разумовского — филиал в г. Темрюк,Кубанский казачий государственный институт пищевой индустрии и бизнеса (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Московский государственный университет технологий и управления имени К.Г. Разумовского (Первый казачий университет)»,МГУТУ в г. Темрюк,"353500, Краснодарский край, г. Темрюк, ул. Советская, д. 4",http://xn----ftbeujcznhjb9j.xn--p1ai,temrukmgutu@mail.ru,+78614852140
Кубанский государственный университет — филиал в г. Тихорецк,Филиал федерального государственного бюджетного образовательного учреждения высшего образования «Кубанский государственный университет» в г. Тихорецке,КубГУ в г. Тихорецк,"352120, Краснодарский край, г. Тихорецк, ул. Октябрьская, д. 24б",http://www.tih.kubsu.ru,tih@kubsu.ru,+78619672401
Российский государственный гидрометеорологический университет — филиал в г. Туапсе,Филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российский государственный гидрометеорологический университет» в г. Туапсе Краснодарского края,РГГМУ в г. Туапсе,"352800, Краснодарский край, г. Туапсе, ул. Морская, д. 7",http://tuapse.rshu.ru,rggmu@mail.ru,+78616725130
Сибирский государственный университет науки и технологий им. М.Ф. Решетнева,Федеральное государственное бюджетное образовательное учреждение высшего образования «Сибирский государственный университет науки и технологий имени академика М.Ф. Решетнева»,СибГУ им. М.Ф. Решетнева,"660014, Красноярский край, г. Красноярск, проспект им. газеты Красноярский рабочий, д. 31",http://www.sibsau.ru,info@sibsau.ru,+73912640014
Красноярский государственный медицинский университет им. В.Ф. Войно-Ясенецкого,Федеральное государственное бюджетное образовательное учреждение высшего образования «Красноярский государственный медицинский университет имени профессора В.Ф. Войно-Ясенецкого» Министерства здравоохранения  Российской Федерации,КрасГМУ,"660022, Красноярский край, г. Красноярск, ул. Партизана Железняка, дом  1",http://krasgmu.ru,rector@krasgmu.ru,+73912201395
Сибирский федеральный университет,Федеральное государственное автономное образовательное учреждение высшего образования «Сибирский федеральный университет»,СФУ,"660041, Красноярский край, г. Красноярск, проспект Свободный, д. 79",http://sfu-kras.ru,rector@sfu-kras.ru,+73912062004
Красноярский государственный аграрный университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Красноярский государственный аграрный университет»,КрасГАУ,"660049, Красноярский край, г. Красноярск, проспект Мира, д. 90",http://kgau.ru,info@kgau.ru,+73912273609
Сибирский государственный институт искусств им. Д. Хворостовского,Федеральное государственное бюджетное образовательное учреждение высшего образования «Сибирский государственный институт искусств имени Дмитрия Хворостовского»,КГИИ,"660049, Красноярский край, г. Красноярск, ул. Ленина, д. 22",http://kgii.ru,info@kgii.ru,+73912124174
Красноярский государственный педагогический университет им. В.П. Астафьева,Федеральное государственное бюджетное образовательное учреждение высшего образования «Красноярский государственный педагогический университет им. В.П. Астафьева»,КГПУ им. В.П. Астафьева,"660049, Красноярский край, г. Красноярск, ул. Ады Лебедевой, д. 89",http://kspu.ru,kspu@kspu.ru,+73912171777
Иркутский государственный университет путей сообщения — филиал в г. Красноярск,Красноярский институт железнодорожного транспорта - филиал Федерального государственного бюджетного образовательного учреждения высшего образования «Иркутский государственный университет путей сообщения»,ИрГУПС в г. Красноярск,"660028, Красноярский край, г. Красноярск, ул. Ладо Кецховели, д. 89",http://irgups.ru/krizht,mail@irgups.ru,+73952638310
Сибирский юридический институт МВД РФ,Федеральное государственное казенное образовательное учреждение высшего образования «Сибирский юридический институт Министерства внутренних дел Российской Федерации»,СибЮИ МВД РФ,"660131, Красноярский край, г. Красноярск, ул. Рокоссовского, д. 20",http://сибюи.мвд.рф,sibli@mvd.ru,+73912224101
Сибирский институт бизнеса,"Автономная некоммерческая организация высшего образования «Сибирский институт бизнеса, управления и психологии»",СИБУП,"660037, Красноярский край, г. Красноярск, ул. Московская, д. 7А",http://sibup.ru,info@sibup.ru,+73912645529
Красноярский государственный аграрный университет — филиал в г. Ачинск,Ачинский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Красноярский государственный аграрный университет»,КрасГАУ в г. Ачинск,"662150, Красноярский край, г. Ачинск, ул. Коммунистическая, д. 49",http://afkras.ru,afkrasgau@mail.ru,+73915176351
Сибирский федеральный университет — филиал в г. Лесосибирск,Лесосибирский педагогический институт - филиал федерального государственного автономного образовательного учреждения высшего образования «Сибирский федеральный университет»,СФУ в г. Лесосибирск,"662544, Красноярский край, г. Лесосибирск, ул. Победы, д. 42",http://lpi.sfu-kras.ru,lpikrgu@wood.krasnet.ru,+73914561180
Сибирский государственный университет науки и технологий им. М.Ф. Решетнева — филиал в г. Лесосибирск,Лесосибирский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Сибирский государственный университет науки и технологий имени академика М.Ф. Решетнева»,СибГУ им. М.Ф. Решетнева в г. Лесосибирс,"662543, Красноярский край, г. Лесосибирск, ул. Победы, 29",http://www.lfsibgu.ru,lf@sibsau.ru,+73914562803
Норильский государственный индустриальный институт,Федеральное государственное бюджетное образовательное учреждение высшего образования «Норильский государственный индустриальный институт»,НИИ,"663310, Красноярский край, г. Норильск, ул. 50 лет Октября, д. 7",http://norvuz.ru,nii@norvuz.ru,+73919421632
Севастопольский государственный университет,Федеральное государственное автономное образовательное учреждение высшего образования «Севастопольский государственный университет»,СевГУ,"299053, Крым Республика, г. Севастополь, ул. Университетская, д. 33",http://sevsu.ru,info@sevsu.ru,+78692222911
Государственный морской университет им. Ф.Ф. Ушакова — филиал в г. Севастополь,Филиал Федерального государственного бюджетного образовательного учреждения высшего образования «Государственный морской университет имени адмирала Ф.Ф. Ушакова» в г. Севастополь,ГМУ им. Ушакова в г. Севастополь,"299009, Крым Республика, г. Севастополь, ул. Героев Севастополя, д. 11, корп. 8/22",http://sevgmu.ru,sevgmu@ya.ru,+78692487439
Московский государственный университет им. М.В. Ломоносова — филиал в г. Севастополь,Филиал Московского государственного университета имени М.В. Ломоносова в городе Севастополе,МГУ им. М.В. Ломоносова в г. Севастополь,"299001, Крым Республика, г. Севастополь, ул. Героев Севастополя, 7",http://sev.msu.ru,info@sev.msu.ru,+78692401827
Крымский федеральный университет им. В.И. Вернадского — филиал в г. Севастополь,Севастопольский экономико-гуманитарный институт (филиал) федерального государственного автономного образовательного учреждения высшего образования «Крымский федеральный университет имени В.И. Вернадского»,КрымФУ в г. Севастополь,"299038, Крым Республика, г. Севастополь, ул. Астана Кесаева, 14ж",http://segi.cfuv.ru,segicfu@mail.ru,+79781202870
Российский экономический университет им. Г.В. Плеханова — филиал в г. Севастополь,Севастопольский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российский экономический университет имени Г.В. Плеханова»,РЭУ им. Г.В.Плеханова в г. Севастополь,"299053, Крым Республика, г. Севастополь, ул. Вакуленчука, д. 29, корп. 4",http://sev-reu.ru,sevastopol@rea.ru,+78692590067
Академия труда и социальных отношений — филиал в г. Севастополь,Институт экономики и права (филиал) Образовательного учреждения профсоюзов высшего образования «Академия труда и социальных отношений» в г. Севастополе,АТиСО в г. Севастополь,"299001, Крым Республика, г. Севастополь, ул. Брестская, 18-б",http://sevatiso.ru,sevatiso@yandex.ru,+78692650248
Крымский федеральный университет им. В.И. Вернадского — филиал в г. Армянск,Институт педагогического образования и менеджмента (филиал) федерального государственного автономного образовательного учреждения высшего образования «Крымский федеральный университет имени В.И. Вернадского» в г. Армянске,КрымФУ в г. Армянск,"296012, Крым Республика, г. Армянск, ул. Железнодорожная, 5",http://ipomkfu.ru,kgu0103.67.02@mail.ru,+73656732958
Крымский федеральный университет им. В.И. Вернадского — филиал в г. Евпатория,Евпаторийский институт социальных наук (филиал) федерального государственного автономного образовательного учреждения высшего образования «Крымский федеральный университет имени В.И. Вернадского»,КрымФУ в г. Евпатория,"297408, Крым Республика, г. Евпатория, ул. Просмушкиных, 6",http://eisn.ru,kguepf@mail.ru,+73656962709
Керченский государственный морской технологический университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Керченский государственный морской технологический университет»,КГМТУ,"298309, Крым Республика, г. Керчь, ул. Орджоникидзе, 82",http://www.kgmtu.ru,kgmtu@kgmtu.ru,-
Крымский федеральный университет им. В.И. Вернадского,Федеральное государственное автономное образовательное учреждение высшего образования «Крымский федеральный университет имени В.И. Вернадского»,КрымФУ,"295007, Крым Республика, г. Симферополь, проспект Академика Вернадского, 4",http://cfuv.ru/,cf_university@mail.ru,+73652545036
Российский государственный университет правосудия — филиал в г. Симферополь,Крымский филиал Федерального государственного бюджетного образовательного учреждения высшего образования Российский государственный университет правосудия (г. Симферополь),РГУП в г. Симферополь,"95006, Крым Республика, г. Симферополь, ул. Павленко, д.5",http://crb.rgup.ru,mail@crb.rsuj.ru,-
Крымский университет культуры,"Государственное бюджетное образовательное учреждение высшего образования Республики Крым «Крымский университет культуры, искусств и туризма»",КУКИиТ,"295017, Крым Республика, г. Симферополь, ул. Киевская, д. 39",http://kukiit.ru/,kukiit2005@gmail.com,+73652276458
Университет прокуратуры РФ — филиал в г. Симферополь,Крымский юридический институт (филиал) федерального государственного казенного образовательного учреждения высшего образования «Университет прокуратуры Российской Федерации»,УП РФ в г. Симферополь,", Крым Республика, г. Симферополь, ул. Гоголя, д. 9",-,,-
Крымский инженерно-педагогический университет,Государственное бюджетное образовательное учреждение высшего образования Республики Крым «Крымский инженерно - педагогический университет»,КИПУ,"295015, Крым Республика, г. Симферополь, пер.Учебный, 8",http://kipu-rc.ru,,-
Университет экономики и управления,Автономная некоммерческая организация «Образовательная организация высшего образования» «Университет экономики и управления»,УЭУ,", Крым Республика, г. Симферополь,",http://ueu.crimea.ru,,-
Крымский федеральный университет им. В.И. Вернадского — филиал в г. Ялта,Гуманитарно-педагогическая академия (филиал) федерального государственного автономного образовательного учреждения высшего образования «Крымский федеральный университет имени В.И. Вернадского» в г. Ялте,КрымФУ в г. Ялта,"298635, Крым Республика, г. Ялта, ул. Севастопольская, 2-А",http://www.gpa.cfuv.ru,060.crimea@edu.ru,+70654323013
Курганский государственный университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Курганский государственный университет»,КГУ,"640669, Курганская область, г. Курган, ул. Гоголя,  д. 25",http://new.kgsu.ru,rector@kgsu.ru,+73522654992
Российская академия народного хозяйства и государственной службы при Президенте РФ — филиал в г. Курган,Курганский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации»,РАНХиГС в г. Курган,"640022, Курганская область, г. Курган, ул. К. Маркса, 147-а",http://kurg.ranepa.ru,kf@kurg.ranepa.ru,+73522247843
Академия труда и социальных отношений — филиал в г. Курган,Курганский филиал Образовательного учреждения профсоюзов высшего образования «Академия труда и социальных отношений»,АТиСО в г. Курган,"640000, Курганская область, г. Курган, ул. Гоголя, д. 153",http://www.kfatso.ru,kurgan@atiso.ru,+73522242450
Курганский пограничный институт ФСБ РФ,Федеральное государственное казенное образовательное учреждение высшего образования «Курганский пограничный институт Федеральной службы безопасности Российской Федерации»,КПИ ФСБ России,"640016, Курганская область, г. Курган-16, Курган-16",-,pavoss@mail.ru,-
Курганская государственная сельскохозяйственная академия им. Т.С. Мальцева,Федеральное государственное бюджетное образовательное учреждение высшего образования «Курганская государственная сельскохозяйственная академия имени Т.С. Мальцева»,КурГСХА,"641300, Курганская область, г. Лесниково,",http://www.ksaa.zaural.ru,rectorat@mail.ksaa.zaural.ru,+73523144140
Шадринский государственный педагогический университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Шадринский государственный педагогический университет»,ШГПИ,"641870, Курганская область, г. Шадринск, ул. К. Либкнехта, д. 3",http://www.shgpi.edu.ru,vuz@shgpi.edu.ru,+73525363502
Юго-Западный государственный университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Юго-Западный государственный университет»,ЮЗГУ,"305040, Курская область, г. Курск, ул. 50 лет Октября, д. 94",http://www.swsu.ru,rector@swsu.ru,+74712504800
Курская государственная сельскохозяйственная академия им. И.И. Иванова,Федеральное государственное бюджетное образовательное учреждение высшего образования «Курская государственная сельскохозяйственная академия имени  И.И. Иванова»,КурГСХА,"305021, Курская область, г. Курск, ул. К. Маркса, 70",http://www.kgsha.ru,kurskgsha@gmail.com,+74712531330
Курский государственный медицинский университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Курский государственный медицинский университет» Министерства здравоохранения  Российской Федерации,КГМУ,"305041, Курская область, г. Курск, ул. К.  Маркса, д. 3",http://kurskmed.com,kurskmed@mail.ru,+74712588132
